(AWS)	Afrikaanse Woordelys en Spelreëls
car park, lay-by, parking bay, parking garage	parkeerplek
car, automobile	motor, motorkar, kar
car, automobile, motor car, motor-car	motor
car, cart, chariot	kar
carafe	kraffie
caramelized	gekarameliseerd
carbon copy (cc)	koolkopie (cc), (kk) (minder algemeen gebruik)
carbon copy, facsimile, copy (of a paper)	afskrif
carbon dioxide	koolstofdioksied
carbon dioxide	koolsuurgas
carbonation	karbonering
carburettor	vergasser
care about, take care of	bekommer hom
care for, cure, treat	behandel
care, see, take care, worry	sorg
careful, cautious	versigtig
careful, tender	sorgvuldig
careless	agteloos, agtelose, agtelosig, agtelosige
careless	argeloos
carelessness	agteloosheid, agtelosigheid
caret	karet, kappie (^)
carion-eater	aasdier, aasvreter
Carmelite	Karmeliet
carnal	vleeslike
Carpathians	Karpate
carpet	mat
carriage return	reëleinde, reëlend
carrier	draer
carrier	draermiddel
carrier position	draerposisie
carrion-eating	aasvretend, aasvretende
carrot, root	wortel
carry	abba
carry, wear	dra
Carthage	Carthago
Carthaginian	Carthager
cash, in cash	kontant
casino	casino
cask	vat
cask ramp	vatlaaibrug
casmouflaged	gekamoefleer, gekamoefleerde
Caspian Sea	Kaspiese See
casserole, saucepan, cooking pot, frying-pan	pan
cassette	kasset
cassette slot	kassetgleuf (radio)
cast (n)	afbeeldsel
cast a shadow	oorskadu
Castillian	Kastiliaans
castle	kasteel
castle, tower	toring
castrate	ontman
catalog, catalogue, directory	katalogus
Catalonia	Katalonië
Catalonian	Katalaans
catch, hit, run across, strike	tref
catfish	baber
Catholic	katoliek
Catholisism	katolisisme
Caucasus	Kaukasus
cause, give rise to	veroorsaak
cause, reason, logical reasoning	rede
caution, warn	waarsku
cave, grotto, cavern, den	grot
cedar	seder
cede, give in, give up, give way, relinquish	afstaan
ceiling	plafon
ceiling beams	plafonbalke
ceilings	plafonne, plafons
Celebes	Celebes
celebration	selebrasie
celebration	viering
celebration, festival, party, many, a lot of	party
celestial glory	selestiale heerlikheid
celestial kingdom	selestiale koninkryk
celestial marriage	selestiale huwelik
celestial plan	selestiale plan
celestial world	selestiale wêreld
cell connector	selaansluiting
cell connector	selverbinding
cellar	kelder
Celt	Kelt
cent	sent
centaur	perdmens
centennial, century	eeu
centerstand	middelstaander
centimeter, centimetre	sentimeter
central	sentraal
centre click position	middelstop-posisie (radio)
centre console	middel konsole
centre electrode	kernelektrode
centre electrode	middelelektrode
centre stand	middelstaander
centrifugal pump	sentrifugale pomp
centrifuging	sentrifugering
certainly	sekerlik
certainly, probably	seker
certificate, testimony	sertifikaat
Ceylon	Ceylon
chain of office	ampsketting
chain saw	bandsaag
chair	stoel
chairman, president	voorsitter
challenge	uitdaging
chamber, room	kamer
Champagne	Champagne
champagne	sjampanje
chance, event, occurence, opportunity	geleentheid
chance, luck	kans
change	kleingeld
change bands	bandverandering (radio)
change in personality	persoonlikheidsverandering
change of address	adresverandering
channel (n)	kanaal
chaos, tangle	chaos
chapel	kapel
chapter	hoofstuk
char	meid
character	karakter
character set	karakterstel
character, nature, personality	karakter
characteristic	kenmerkend
characteristic, typical	tipies
Chardonnay	Chardonnay
charge	aanklag
charge office	aanklagkantoor
charges	aanklagte
charity	armesorg
charity	liefde (teenoor die medemens), liefdadigheid
charity, love of one's neighbour	naasteliefde
charm (n)	sjarme
charm (v)	sjarmeer
charm school	sjarmeskool
charmat method	charmat-metode
charming	allerbekoorliks, allerbekoorlikste
charming	sjarmant, sjarmante
charred	verkool
chase, hunt after, hunt for, pursue	ten doel hê
chassis	onderstel
chaste	kuis
chastity	kuisheid
chat	klets, gesels
chateau bottled	chateau-gebotteleer
cheap, inexpensive	goedkoop
cheat, crook, rogue, scoundrel	ploert
check (n)	regmerkie
check (v)	nagaan
check, cheque	tjek
checkmate	skaakmat
cheek	wang
cheerful, gay, merry	vrolik
chemical	chemies
chemical denotation	chemiese denotasie
chemist's shop, drugstore	apteek
chemistry	chemie
chemistry	chemie 
Chenin blanc	Chenin Blanc, Steendruif
cheque-book	tjekboek
cherry	kersie
cherubim	gerubs
chessboard	skaakbord
chew	kou
Chianti wine	Chianti-wyn
chicken, fowl	hen
chicken, hen, fowl	hoender
child, offspring, young, infant	kind
Chilean	Chileen
Chilean	Chileens
chime	klinkel
China	China
chocolate cake	sjokoladekoek
choke	smoor
choke (automotive)	smoorklep
choke (automotive)	versmoorder
choose, elect, pick out	kies
choose, elect, pick out	verkies
Christian	Christen
Christian name	doopnaam
Christian name	voornaam
Christmas tree, Christmas-tree	kersboom
Christmas, Christmas feast	Kersmis
Christmas, Christmas feast, Yule	Kersfees
church court	kerklike hof
Church of Jesus Christ of latter-day saints	die Kerk van Jesus Christus van die heiliges van die laaste dae
church, kirk	kerk
cider	appeldrank, appelsider
cigar	sigaar
cigarette	sigaret
Cinderella	Asepoestertjie
cinderella	aspoester, aspoestertjie
cinema, movie theatre	bioskoop
cinema, movie theatre	fliekhuis
cipher, digit, figure, numeral	syfer
circle	sirkel
circular (a)	sirkelvormig, sirkelvormige
circular (a)	sirkulêre
circular movements	sirkelbewegings
circular saw	sirkelsaag
circulate	sirkuleer
circulation	sirkulasie
circulatory system	aarstelsel
circumstance	omstandigheid
circumstances, condition, situation, state	situasie
circumstances, condition, situation, state	toestand
circus	sirkus
cirrhosis	sirrose
citadels	sitadelle
citation	sitaat, sitasie
cite, quote	aanhaal
citrus	sitrus
citrus farm	sitrusboedery
city of Zion	die stad Sion
city, town	stad
civilization	beskawing
claim (n)	aanspraak
claimant	aanspraakmaker
claims	aansprake
clamp, bracket, parenthesis, staple	hakie
clan, clique, coterie, junto, set	kliek
clap, click, rattle	klik
claret	klaret
clarity	helderheid
clash	(statements)	bots (stellings)
class	klas
class, course	kursus
classic, classical	klassiek
classical music	klassieke musiek
clean, cleanse, make clean, purge	skoonmaak
clean, pure	skoon
clean, pure	suiwer
cleaning	skoonmaak
cleanly cut, net, neat, precize	netjies
clear	helder
clear	opklaar
clear coating	helder deklaag
clearly	duidelik
clerk	kantoorklerk
clever, cunning, sly, smart	slim
client	kliënt
client, customer	kliënt
client-server relationship	kliënt-bedienerverhouding
climate	klimaat
climb	kim
climb	klim
climb down	afklim, afklouter
climbing plants	rankplante
clinic	kliniek
clip, cut, shear, slice	sny
clock	horlosie
clock	klok
clone	kloon
close off	afdig
close, intimate, cardiac, cordial, hearty	innig
close, near, nearby, next	aanstaande
close, shut	toemaak
closing speech	afsluitingstoespraak
clothe, dress	klee
clothes, clothing	klere
cloudiness	troebelheid
clouding	vertroebel
clouding	vertroebeling
cloudy	troebel
cloves	(krui)naeltjie(s)
cloyed	stroperig
cloying	stroperig
club, society	klub
clustering	saamgroepering
clutch	koppelaar
clutch (automotive)	koppellaar
clutch pedal	koppelaar(pedaal)
clutch, grab, grasp, grip, seize	gryp
coach (n)	afrigter
coach (n) (sport)	afrigster (f), afrigter (m)
coach (v)	afrig (ww.)
coach (v) (sport)	afrig
coaches (sport)	afrigters
coal	steenkool
coastal region	kusstreek
coat, overcoat	jas
cobra	kobra
cock, rooster	haan
cocktail	kelkie
cocktail	skemerkelkie
cod, codfish	kabeljou
code	kode
cognac	cognac, konjak
cognitive	kognitief
coherence	eenvormigheid
coin	geldstuk
coin	munt
coin	muntstuk
coin	penning
cold fermentation		koue gisting
collaborative	samewerkend(e)
colleague	ampgenoot, ampsgenoot
colleague	kollega
colleagues	ampgenote
collect e-mail	gaan haal/kry e-pos
collect, gather, pick up	versamel
collect, gather, pick up, join, unite	bymekaarbring
collection	bundel
collection	insameling
collection	versameling
college	kollege
collide	bots
collision	botsing
Cologne	Keulen
colon	dubbelpunt (:)
colony, settlement	kolonie
colour painting	kleurdeklaag
colour, dye, tint	kleur
coloured (n), half-blood	gekleurde
Columbus	Columbus
column, header	rubriek
column, pillar	kolom
com port (communications port)	com-poort (kommunikasiepoort), kom-poort
comb	kam
combination	kombinasie
combine, connect, join	verbind
combustion chamber	ontbrandingskamer
come	kom
come about, happen, occur	gebeur
come about, happen, occur	geskie
come about, happen, occur	plaatsvind
come across, encounter, meet, see	ontmoet
come across, encounter, meet, see	sien
come back, return	terugkom
come down	afkom
comedy	komedie
comfort, console, consolation	troos
comfortable	gemaklik
comfortable	gerieflik
comforter	trooster
command line (adj)	reëlopdrag=, reël-vir-reël-
command line (n)	opdragveld, opdraglyn
commander	kommandant
commander, leader	aanvoerder
commandment	gebod
commandments	gebooie
commend, glorify, laud, praise, price	prys
commission	kommissie
commission, errand	opdrag
commissioned of jesus christ	in opdrag van jesus christus (optree)
commitment	toegewydheid
common, ordinary, usual	gewoon
commonplace, dismal, trite, daily	alledaags
commotion, scandal	aanstoot
commotion, scandal	skandaal
communicate, report, let know, inform	meedeel
commute (transport)	pendel
commuter	pendelaar
commuters	pendelaars
compact	kompak
company, firm	firma
compare	vergelyk
comparison	vergelyking
compartment, coupé	koepee
compartment, coupé	kompartement
compassionate	barmhartig, barmhartige
compatible	versoenbaar
compel, force	dwing
compel, force	verplig
compensate, reward	beloon
compensation	skadevergoeding
compensation, reward	vergelding
competence	bevoegdheid
competition, contest	kompetisie
competition, contest, game, match	wedstryd
complain	kla
complete	aanvul
complete, full, completely, fully	vol
completely	algeheel, algehele
completely	heeltemal
composition	samestelling
comprehensive	omvattend(e)
compression	kompressie
compression ratio	drukverhouding
compressor	kompressor
compressor	perspomp
compressor turbine	kompressorturbine
compressor turbine	perspompturbune
comprise, contain, include	bevat
computer	rekenaar
computer	rekenaar, komper (arg.)
concept	konsep
concern (v)	aanbetref
concern, relate, traffic, be found, be located	verkeer
concerned, in question	betrokke
concert	konsert
conclusion, effect, result	uitslag
conclusion, inference	gevolgtrekking
condemnation	verdoeming, verdoemnis
condensate (v)	kondenseer
condense	kondenseer
conduct, direct, guide, head, lead	lei
confectioner	banketbakker
conference	konferensie
confidence, faith, trust	vertroue
configuration utility	konfigurasieprogram, opstelprogram, opsteller
configure	konfigureer, opstel
confirm	beaam
confirm	bevestig
confirm, corroborate	erken
confirmation (religion)	aanneme, aanneming
Confucius	Confucius
congenital	aangebore
Congo, Zaire	Kongo
conjunction	voegwoord
connect	verbind (algemeen), konnekteer (sok), koppel (kommunikasie, bv internet)
connection	konneksie
connection	verbinding
consecrate	wy (aan)
consecrated oil	gewyde olie
consecutive	agtereenvolgend, agtereenvolgende
consequently, so, subsequently	gevolglik
conserve, keep, maintain, preserve	bewaar
consider, deem, look, look at, regard, view	kyk
consider, deem, look, look at, regard, view	kyk na
consider, esteem, regard, think, think about	oorweeg
considerable	aansienlik, aansienlike
considerably	aansienlik
consommé	consommé
constant (n.)	konstante (s.nw.)
consternation	konsternasie
constitution	grondwet
consul	konsul
consult	raadpleeg
consumer	verbruiker
contact	kontak
contact period	kontakperiode
contemporary	hedendaags, hedendaagse
contented, pleased, satisfied	tevrede
contents	inhoud
continent, mainland	vasteland
continually	aan-aan
continually	aaneen
continually	aanhoudend
continue	aanhou
continuous	aanhoudende
continuous, interlinked	aaneengeskakel, aaneengeskakeld, aaneengeskakelde
continuously	aanmekaar
contour	sloop
contract	kontrak
contralto	alt
contrast	teenstelling
contrite spirit	verslae gees
control	beheer
control, govern, restrain, rule	regeer
controls	kontroles (radio)
conversation	gesprek
conversation, interview	onderhoud
convert	bekeer
convertable (automotive)	afslaandakmotor
convertable (automotive)	cabriolet
convertable (automotive)	kabriolet
converted (to be converted)	om jou te bekeer, bekeer te word
conveyer	vervoerder
cooked	gekook
cooked cabbage	gekookte kool
cookie	kolwyntjie, koekie, beskuitjie
cool	koel
cool	koud
cool down	afkoel
cooling fan	koelwaaier
cooling fan	verkoelwaaier
cooling installation	afkoelingsinstallasie
cooling surface	afkoelingsoppervlak
cooling system	koelstelsel
cooling system	verkoelstelsel
cooperate, co-operate	saamwerk
cop, police officer	polisiebeampte, polisiedienaar, polisieman
Copenhagen	Kopenhagen
copper pot-stills	koperpotketels
copy	kopiëer
copyright	kopiereg
cord line	plantlyn
cordon	kordon
cordon wire	kordondraad
cordon wire trellising	kordondraagstelsel
core, nucleus, kernel, pit	pit
Corinthian	Korinthies
cork	kurk
cork (n)	prop
cork (v)kurk (v)
corked taste	kurksmaak
corking machine	propmasjien
corky taste	vatsmaak, kurksmaak
corn, Indian corn, maize, mealies	mielies
cornered, caught up with	aangekeer
corrode	aantas
corrosion	korrosie
corrupt	korrup (clc)
cost, food, nourishment	kos
costly, valuable	waardevol
costume, outfit, suit	pak klere
cottage	kothuis
cottage system	gewelstelsel
cough	hoes
council in heaven	raad in die hemel
council of the twelve apostles	raad van die twaalf apostels
councillor	raadslid
counselor	raadgewer
count	tel
country code	landkode
coupè	koepee
courage	dapperheid
courage	durf
courage	moed
court	hof
cousin (f)	niggie
cousin (m)	neef
cousin, nephew	neef
covenant	verbond
cover	bedek
cover	dek
cover (v)	afdek
cover crop	dekgewas
covered	bedekte
covered in blood	bebloed
covet	begeer
cow	koei
coward	bangbroek, bangerd, banggat
cower, crouch, squat	hurk
cower, shrink	ineenkrimp
cracker (comp)	krapper (kyk ook hacker)
cracking	barstend, barstende
crankcase	krukkas
crawl, creep	kruip
crayfish, lobster	kreef
crazy, insane, mad, nuts	mal
cream	room
cream	vla
cream liqueur	roomlikeur
create	kreëer
creator	skepper
credit	krediet
credit card	kredietkaart
Crete	Kreta
Crimea	die Krim
Crimea	Krim
crisis, depression, emergency	krisis
crisp	krokant, vars, verfrissend
criterion (...ria)	kriterium (...ria)
criticize	kritiseer
Croat	Kroaat
Croatia	Kroasië
Croatian	Kroaties
crockery set	eetservies
crocodile	krokodil
cross	kruis
cross, go beyond, transfer	oorskry
cross, go beyond, transfer	oorsteek
cross-disciplinary	kruisdissiplinêr(e)
cross-ply tyre	kruislaagband
cross-ply tyre	oorkruislaagband
cross-post (v)	kruispos
crowd	skare
crowd, heap, mass, multitude, pile	menigte
crowd, heap, mass, multitude, pile, band, bevy	skare
crowd, heap, mass, multitude, pile, lump	massa
crowd, heap, mass, multitude, pile, stack	stapel
crown cork	kroonkurk
crucifixion	kruisiging
crucify	kruisig
crude oil	aardolie
crude, raw, rough	rou
cruel	wreedaardig
crusher	parsmasjien
crust	kors
crutch	kruk
cry of alarm	alarmkreet
cry out, scream, shout	skreeu
crystal	kristal
Ctrl key (control)	Ctrl sleutel (control)
Cuba	Kuba
Cuban	Kubaan
Cuban	Kubaans
cubby hole	mossienes
cubby hole	paneelkassie
cubby hole	paneelkissie
cube	kubus
cultivar	kultivar
cultivate, grow	aankweek
cultivate, grow	kweek
cultivator	skoffelploeg
cultivator, nurser	kweker
culture	kultuur
cup	koppie
Cupid, Eros	Cupido
Cupid, Eros	Kupido
Curaçao	Curaçao
curfew	aandklok
curl, froth, stir, whip, whirl, move	roer
curly brackets	krulhakies ({})
curly quotes	krulaanhalingstekens
current, present, present-day	huidig
curry	kerrie
curse	vloek, vervloeking
curse (n)	banvloek
curtain	gordyn
cushion	kussing
custody	sorg
custom	doelveranderde, doelgemaakte
custom, habit, way	gewoonte
custom, habit, way, employ, use, make use of	gebruik
customise	doelmaak
cut	sny
cut off	afknip
cut off, chop off	afkap
cut, cut a connection	afskakel
cut-out button	afsluitknoppie
cutlery	tafelgereedskap, tafelgerei, tafelservies, tafelsilwer
cutworm	miswurm
cycle	fietsry
cylinder	silinder
cynical	sinies
Cypriot, Cypriote	Cipries
Cypriot, Cypriote	Ciprioot
Cyprus	Ciprus
Czech, Czechoslovak, Czechoslovakian	Tsjeg
Czech, Czechoslovak, Czechoslovakian	Tsjeggies
Czechoslovakia	Tsjeggo-Slowakye
daemon	daemoon
daffodil	affodil
daily	daagliks
dainty, delicate, fine, refined	delikaat
dainty, delicate, fine, refined	teer
dairy farm	melkboerdery
dairy farmer	melkboer
Dalmatia	Dalmasië
damage, injure, spoil, bribe	bederf
dame, king, queen	dam
dance	dans
Dane	Deen
Danish	Deens
Danube	Donau
Dardanelles	Dardanelles
dare to take on	aandurf
dare, be bold	waag
dark, dim	duister
darling, treasure	skat
darn	verbrands
data bit	databis
date	dateer
date	datum
daughter	dogter
daughter, girl, lass	dogter
day	day
Day of Atonement, Feast of Expiation	Versoendag
day of rest	rusdag
dazed, perplexed, upset	deurmekaar
dazed, perplexed, upset	verbysterd
dazed, perplexed, upset	verward
deacon	diaken
dead, death	dood
deaf	doof
deal, distribute	uitdeel
dear	geag
dear john letter	afsêbrief
dear, expensive, lovely, valuable, costly, pricey	duur
debatable	aanvegbaar, aanvegbare
debit order	aftrekorder
debit order facility	aftrekorderfasiliteit, aftrekordergeriewe
debug (n)	ontvlooiingsprogram
debug (v)	ontvlooi, ontgogging (cmdp)
decade	dekade
decant	dekanteer, oorskink, oorgiet
decanter	kraffie
December	Desember
decent, fitting, proper, suitable, decently	behoorlik
decide	besluit
deciduous	bladwisselend
declaration, proclamation, statement	verklaring
declare, state, explain	verklaar
decode	dekodeer
decor, décor, decoration	dekor
decorking	ontkurking
decrepit	aftands
decrepit wine	afgeleefde wyn
dedicate	toewy
dedicate, devote, pay out, spend	spandeer
dedicated	toegewyd
deduct	aftrek
deductible	aftrekbaar, aftrekbare
deduction	aftrekking
deed (of a house)	akte
deeds office	aktekantoor
deem, opine, think	dink
deep, profound	diep
deer	hert
default gateway	grond deurgangspoort
default value	verstekwaarde (clc), grondwaarde
defeat, win over	verslaan
defend	verdedig
defenestrate	ontmaagd
deficit	agterstand
define, determine, attach, fasten, fix, affix	bepaal
definitely not	aikôna
definition	definisie
degorgement	degorgement
degreasing	ghriesverwydering
degree of colour	graad van rosigheid
degree of sweetness	soetheidsgraad
degree, grade, heading, title	graad
dehydrate	ontwater
Del (delete)	Del (delete)
delay, retardation	vertraging
delegate, send a representative	afvaardig
delegation	afvaardiging
delete	uitvee, uitwis, wis
deletion	wissing, uitwis, uitwissing
delicacy, tidbit, sweet	lekkers
delicious	heerlik, heerlike
delightful, lovely	verruklik
delineate	afbaan, afbaken
delineated, set apart	afgebaken
deliver	aflewer
deliver (v)	aflaai
deliver, furnish, supply	aflewer
deliver, furnish, supply, convey, hand, hand over	inlewer
deliveries	afleweringe, aflewerings
delivery vehicle	afleweringsvoertuig, afleweringswa
deluxe, de luxe, luxurious, luxury	luukse
demand, postulate, require	vereis
demi-sec	demi-sec
democracy	demokrasie
democratic	demokraties
democratic participation	demokratiese deelname
demonstrable	bewysbaar, demonstreerbaar (...bare)
demonstrate	bewys, demonstreer
denial	ontkenning
Denmark	Denemarke
denouement	ontknoping
dentist	tandarts
deny	ontken
department	afdeling
department	departement
department store	afdelingswinkel
department store, warehouse, bazaar	afdelingswinkel
departmental manager, head of department	afdelingsbestuurder, afdelingshoof
departmental secretary	afdelingsekretaris
depend	afhang
dependants	afhanklikes
dependent	afhanklik, afhanklike
depending on	afhangend van, afhangende van
depict	afbeeld
depict, represent	uitbeeld
depicted	afgebeeld
depiction	afbeelding
deport	deporteer
deposit	deponeer
depth	diepte
deputy director	adjunk-direkteur
deputy minister	adjunk-minister
descend	afdaal
descend from	afstam van
descend, get off, go down	afgaan
descend, go down, land	daal
descendant	afstammeling
descendants	afstammelinge
descent	afstamming
descent, lineage	afkoms
description	beskrywing
design (v.)	ontwerp
design, outline, sketch	skets
desirable	aanloklik, aanloklike
desire, wish, long for, yearn	verlang
desk, lectern, school desk	lessenaar
desktop	tafelblad
desludg	ingafsak
despite, in spite of, notwithstanding, defiantly	ten spyte van
dessert	nagereg
dessert wines	dessertwyne, likeurwyne
destination	bestemming
destiny, fate, ill fate, fortune, luck	lot
detail	besonderheid
detail	detail
detect	bespeur
detrimentally, disadvantageously, prejudicially	nadelig
Deuteronomy	Deuteronomium
develop, reveal	ontwikkel
development, evolution	evolusie
development, evolution	ontwikkeling
devil	josie
diaeresis	deelteken (bv ë)
diagnostics	diagnostiese toetse
diagonal trellising	skuinskapstelsel
dial	skakel
dial (v)	skakel
dial out (v)	uitbel, bel
dial tone	luitoon
dial, disc, disk, record	plaat
dial, disc, disk, record, slice	skyf
dial-up (adj)	inbel=, inskakel=
dial-up (v)	inbel, inskakel
dial-up networking	inbelnetwerkwerk
dialing tone	skakeltoon
dialogue box	dialoogblokkie, dialoogkassie, dialoogruitjie
diamond	diamant
dictionary, vocabulary	woordeboek
die	sterf
die off, become extinct	afsterf
diesel	diesel
diet	dieet
differ, be different, difference	verskil
different	verskillend
differential	ewenaar
differently	anders
difficult, hard, inconvenient	moeilik
difficulty, trouble	moeilikheid
dilute	afdun
dimension	afmeting
dimension, measurement	afmeting
dimension, measurement	dimensie
dimensions	afmetinge, afmetings
dimensions	afmetings
diminutive, little, small	klein
dining-room	eetkamer
dinner, midday meal	dinee
dinner, midday meal	middagete
dinner, supper	aandete
dinner, supper	avondmaal
dip switch	domp(lig)skakelaar
diploma	diploma
dipstick	oliemaat
dipstick	oliestokkie (kyk ook oil dip)
direct (v)	lei, voorgaan op 'n vergadering
direct, guide, manage, steer	rig
direct, guide, manage, steer, conduct, lead	bestuur
direct, straight	direk
direction	rigting
directions, instruction	instruksie
directly, straigh ahead	regop
director, manager	direkteur
directory	gids
dirty, filthy, nasty, soiled, unclean	vuil
disable	sper
disappear	verdwyn
disapprove	afkeur
disc	skyf
disc skyf
discharge, dismiss, fire, sack	ontslaan
disciple	dissipel
discipline	dissipline
disconnect	ontkoppel, diskonnekteer
discount (n)	afslag
discount shop	afslagwinkel
discourage	ontmoedig
discover, uncover	ontdek
discovery	ontdekking
discrete	losstaande
disease, illness	kwaal
disease, illness	siekte
disfellowship	sensureer, onder sensuur plaas
disfellowshipment	sensuur
disgorge	ontslik
disgrace	skande
disgraceful	skandelik, skandelike
dish up	inskep
dish up	opskep
dishonest	agterbaks, agterbakse
disillusion	ontnuger
disillusionment	ontgogeling
dismiss, turn away	wegstuur
display (n)	uitbeelding, beeld, afbeelding
display (n)	vertoonskerm (radio)
disposal, inclination, tendency	lus
dispose of, sell, vend	verkoop
distance	afstand
distance education	afstandonderrig, afstandsonderrig
distance, offset	afstand
distances	afstande
distillate	distillaat
distilled wine	distilleerwyn
distilled wine	stookwyn
distilling	verstoking, distillering
distract	aflei
distraction	afleiding
distraction, diversion	ontspanning
distributor	verspreider
distributor (automotive)	verdeler
district	distrik
ditch-digger	skaggrawer
diverge	afwyk
divergent	afwykend, afwykende
divorced	geskei
DNA	DNS
do a bodysearch, scan (v)	aftas
dockworker	hawearbeider
doctor	arts
doctor, physician	dokter
doctrine	leer
doctrine and covenants	leer en verbonde
document (v.)	dokumenteer (ww.)
document, paper	dokument
documentation	dokumentasie, handboek (spesifiek)
dog	hond
doll, puppet	pop
dollar	dollar ($)
domain	domein
domain suffix	domeinsuffiks, domeinstert (minder formeel)
domestic	gesins-
Dominican	Dominikaans
dominion	heerskappy
door for driver and courier	bestuurdersdeur
door handle	deurknip
door lock	deurslot
door mirror	kantspieël
door mirror	syspieël(tjie)
door pillar	deurpilaar
door-to-door salesperson	aanklopverkoper
Dorian, Doric	Dories
dot	kol, dot
dot, period, point, spot	punt
double bass player	bassis
double-click	klik-klik, dubbelkliek, dubbelklik
doubt	twyfel
doughy wine	dikwyn
down	ondertoe
down (v)	na onder rol
down (vi)	skakel af, gaan sit ('n netwerk), breek af ('n lyn)
down (vt)	afsit, afskakel, ontkoppel ('n netwerk)
down draught twin choke	tweekeel-valstroom (vergassertipe)
download	aflaai
downward slope	afhelling
downwards	afwaarts, afwaartse
downy mildew	donsskimmel
dozen	dosyn
draft, rough draft, plan, project, scheme	konsep
drag, draw, haul, pull, tug	trek
drag, tow	sleep
drainage	afvoer
drainage area	afvoergebied
drainage pipe	afvoerbuis, afvoerpyp
Drakensberg Mountains	Drakensberge
drama	drama
drape	drapeer
draw back in fear	agteruitdeins
draw out, drive out, express, utter	ontlok
draw out, drive out, express, utter	uithaal
draw, equality	gelykheid
drawer, burden, load	laai
dress, wear, put on	aantrek
dressing up	aantrekkery
dried fruit	droë vrugte
driedd	roë, gedroogde
drift, be adrift, float, swim, chase, drive	dryf
drink, drink to excess	drink
drink, drink to excess	suip
drinking wine	drinkwyn
drip	drup
drip moulding	drupgeut
drip moulding	druplys
drip off	afdruip
drive (v)	aandryf
drive mechanism	dryfmeganisme (radio)
drive unit	aandrywingseenhede
drive-in restaurant	aanrykafee
driver	drywer
driveshaft	aandryfas
driving turbine	dryfturbine
driving-licence	rybewys
drizzle, drizzling rain	motreën
droop, hang	hang
drop a line (v)	laat 'n lyn val
drop, fall	val
drop, fall, remainder, rest, debris, rubbish	afval
drug, medicine, pharmaceutical	medisyne
drum	drom (geselstrant)
drunk, intoxicated	dronk
dry	dor
dry off	afdroog
dryness	droogte
dual circuit	dubbelbaan (remme)
dual link	dubbelskakel (vering)
dual mode	dubbelmodus
dual seat	dubbelsitplek
duck	eend
durability track	duursaamheidstoetsbaan
duration of office	ampsduur, ampstermyn
during the day	bedags
dusk	aandgloed
dusk, twilight	skemer
dust (v), clean (v)	afvee, afveeg
dusty	stowwerig
Dutch	Hollands
Dutch	Nederlands
Dutch Reformed Church	Nederduits Gereformeerde Kerk
Dutchman	Hollander, kaaskop
Dutchman	Nederlander
Dutchman, Hollander	Hollander
duty, obligation	plig
duty, obligation	verpligting
dwarf, midget, pigmy	dwerg
dwell, live	woon
dynamic IP-address	dinamiese IP-adres
e-mail	e-pos, E-pos (AWS-spelling)
each other	mekaar
each other	melkaar
each other, one another	mekaar
eagle	adelaar
eagles' nest	adelaarsnes
ear, above, more than, over, after, about	oor
earless	afoor
earless cup	afoorkoppie
early	vroeg
early	vroegtydig
earn, gain, win	wen
earn, gain, win, be worthy of, deserve, merit	verdien
earth	aarde
earth wire	aarddraad
earth, land, soil	aarde
earth-bound	aardgebonde
earthling	aardbewoner
earthquake	aardbewing, aardskok, aardskudding
earthy	aardagtig
earthy	aards, aardse
East Germany, GDR	Oos-Duitsland
east, East	ooste
Easter	Paasfees
Easter	Pase
eastern, Oriental	oostelik
easy, facile	maklik
eat up, consume, use up	verorber
eat, feed	eet
echo	eggo
economical	ekonomies
ecstasy	ekstase
ED paint tank	E-N-verftenk
Edam	Edam
edelweiss	edelweiss
Eden	Eden
Edinburgh	Edenburg
edit (v)	redigeer
edition	uitgawe
education	onderwys
education	opleiding
educator(s)	opvoeder(s)
eel	paling
eel worm	aalwurm
eel-like	aalagtig, aalagtige
eel-shaped	aalvormig
effect, impression	effek
effect, impression	impak
effect, impression	indruk
effort	moeite
egg	ei
egg	eier
Egypt	Egipte
Egyptian	Egiptenaar
Egyptian	Egipties
eight	ag
eight	agt
eight hunderd	agthonderd
eight-year-old	agtjarige
eighteen	agtien
eighteen	agttien
eighteenth	agttiende
eighteenth century-	agtiende-eeus, agtiende-eeuse, agttiende-eeus, agttiende-eeuse
eightfold	agtdubbel, agtdubbeld
eighth	agtste
eighth man	agsteman
eighth man	agtsteman
eighty	tagtig
eithtfold	agvoudig, agtvoudig, agvoudige, agtvoudige
eject	uitskop (radio)
elder	ouderling
electric	elektries
electrical system	elektriese stelsel
electricity	elektrisiteit
electrodeposit painting	elektro-neerslagverf
electron	elektron
elegant	elegant
element	element
element, fragment, item, particle	item
elemental, elementary	elementêr
elephant	olifant
elevator, lift	hyser
eleven	elf
elicit (- a response)	ontlok (- 'n reaksie)
ellipses	beletselteken (... (net drie kolletjies))
elm	iep
elm	olm
elsewhere	elders
emanation	afstraling
embassy	ambasade, ambassade
embed	inlê
embedded	ingebedde, verskansde
emblem	embleem
emblem	kenteken
emigrate	emigreer
emoticon	emotikon
employee	werknemer
employer	werkgewer
employment bureau	aannemingsdiens
empty, void	pap
emulation	emulasie
enable	ontsper (clc)
enchanter, magician, sorcerer, warlock, wizard	towenaar
encode	enkodeer
encounter (v)	aantref
encourage	aanspoor
encourage	aanvuur
encouragement	aanmoediging
encouragement	aansporing
encouraging	aanmoedigend, aanmoedigende
