a	een
accompanying	bijgaand
accompanying	ingesloten
accord, settlement, chord	accoord
accordion	trekharmonika
accordion, harmonica	accordeon
accordionist	accordeonist
accordionist	harmonikaspeler
account	conto
accountancy	accountancy
accountant	accountant
accountant	boekhoudkundige
accredit	accrediteren
accumulate, stack, heap, amass	opeenhopen
accumulator, battery	accu
accumulator, battery	accumulator
accuracy, exactitude, precision	accuratesse
accusative	accusatief
accusative	vierde naamval
accuse	aanklagen
accuse	beschuldigen
accuse	betichten
accused, defendant	aangeklaagde
accuser	aanklager
accuser	beschuldiger
accustom	gewend zijn
accustom	gewoon zijn
accustom	plegen
accustomed, wonted, customary, usual	gebruikelijk
acetate	acetaat
acetate	azijnzuur zout
acetone	aceton
acetylene	acetyleen
ache, hurt	pijn doen
ache, hurt	zeer doen
Acheron	Acheron
achieve	bewerkstelligen
Achilles	Achilles
ack-ack	luchtafweergeschut
acknowledge, recognize	als waarheid aannemen
acknowledgement	erkenning
acme	toppunt
acne	acne
acne	dauwworm
acne	eczeem
acolyte	acoliet
acolyte	altaardienaar
aconite, monkshood	akoniet
acorn	eikel
acoustic	acoustisch
acoustic	akoestisch
acoustics	acoustiek
acoustics	akoestiek
acoustics	geluidsleer
acquaintance	bekende
acquaintance	relatie
acquaintance, knowledge	kennis
acquire, attain, get, obtain	verkrijgen
acquired, learnt	aangeleerd
acre	acre
acrobat	acrobaat
acrobat	kunstenmaker
acrobatic	acrobatisch
acrobatics	acrobatiek
acronym	acroniem
Acropolis	Acropolis
across	overheen
across, away	over
across, opposite	aan de overkant van
act	ageren
act	bezig zijn
act, negotiate, trade	handelen
active	bedrijvig
active	werkzaam
activist	activist
activist	agitator
activist	onruststoker
activity, action	gedoe
activity, action	handeling
activity, action, presentation	optreden
activity, share, action	actie
actor	acteur
actor	komediant
actor	speler
actress	actrice
actress	toneelspeelster
actual, real	daadwerkelijk
actually	waarachtig
actuary	actuaris
actuary	archiefmedewerker
acupuncture	acupunctuur
acupuncturist	acupuncteur
acute	acuut
acute	voorbijgaand
acute, precise	scherp
Adam	Adam
adapt, accommodate, fit, adjust	afstemmen
adaptability	aanpassingsvermogen
adaptation	modificatie
adapted	aangepast
adapted	bewerkt
adaptor, adapter	bewerker
add	bijtellen
add	optellen
addition	optelling
additional, furthermore, moreover, remaining	verder
address	adresseren
addressee	geadresseerde
addressograph, addressing-machine	adresseermachine
Aden	Aden
adequate, accessory, secondary	bijbehorend
adequate, conforming	adequaat
adhesion	adhesie
adhesion	grip
adjacent, neighbouring	aangrenzend
adjacent, neighbouring	aanliggend
adjectival	bijvoeglijk
adjective	adjectief
adjective	bijvoeglijk naamwoord
adjoin, abut	belenden
adjoin, abut	grenzen aan
adjust, accomodate, accommodate, adapt, fit	aanpassen
adjusted	afgepast
adjustment	afstelling
adjutant, aide-de-camp	adjudant
administer, manage	beheren
administration, management	administratiekantoor
administrative	administratief
administrative	bestuurlijk
administrator, manager	administrateur
administrator, manager	beheerder
admirable	bewonderenswaardig
admiral	admiraal
admiral	vlootvoogd
admirality	admiraliteit
admire	bewonderen
admirer	bewonderaarster
admirer, adorer, worshipper	vereerster
admiring	bewonderend
admittedly	toegegeven
admonish, encourage, instigate, urge, scold	aansporen
admonish, scold	vermanen
ado, din, noise, tumult, riot	herrie
adolescent	puber
Adonis	Adonis
adopt	adopteren
adopt	zich eigen maken
adopted	geadopteerd
adopted, job-	aangenomen
adoption	adoptie
adorable	aanbiddelijk
adorable	aanbiddenswaardig
adoration, worship	aanbidding
adoration, worship	adoratie
adore	aanbidden
adore	adoreren
adore	verafgoden
adorer, worshipper	aanbidster
adorn, decorate, ornament	versieren
adorned	opgesmukt
adornment	sieraad
adornment	tooisel
adrenaline	adrenaline
Adrianople	Adrianopel
Adriatic	Adriatische Zee
adstringent, stopper	stopmiddel
adult	adult
adult	volwassene
adulterer	echtbreker
adulteress	echtbreekster
adultery	echtbreuk
adultery	overspel
adumbration	afschaduwing
advance	gaan naar
advance	genaken
advance	naderen
advantageous, favourable	toegenegen
advent	advent
adventure	avontuur
adventure	lotgeval
adverb	adverbium
adverb	bijwoord
adverbial	bijwoordelijk
adversary, opponent	tegenstander
advertise, announce	aandienen
advertise, announce	adverteren
advertisement, ad	advertentie
advertiser	adverteerder
advertiser	verkondiger
advice	advies
advice	raadgeving
advice, council	raad
advisable, recommendable	raadzaam
advise, notify, counsel	adviseren
advise, notify, counsel	bekendmaken
advocate, lawyer	advocaat
advocate, lawyer	pleitbezorger
Adzharia	Adzjarië
Aegir	Aegir
aeon, eternity	eeuwigheid
aerate	frisse lucht toewaaien
aerate	waaien
aerate	wannen
aerogramme	luchtpostbrief
aeroplane, plane, aircraft, airplane, air-plane	vliegmachine
affair, case, matter, business	affaire
affect	aandoen
affectation	aanstellerij
affectation	onnatuurlijkheid
affected	aangedaan
affected	aangegrepen
affection	affect
affection	emotie
affectionate, cuddlesome, caressing, cuddly	aanhalig
affiliate	affiliëren
affinity	affiniteit
affinity, relationship	verwantschap
affix	aanhechtsel
affix	affix
afflict, grieve	beproeven
afflict, grieve	verdriet doen
affliction	beproeving
affliction	droefheit
affliction	hartzeer
Afghan	Afghaans
Afghanistan	Afghanistan
afraid	laf
afraid	lafhartig
afraid, timid, anxious	bang
Africa	Afrika
Afrikaans	Zuidafrikaans
Afrikaans, African	Afrikaans
Afrikander, Boer	Boer
Afrikaner	Boer
Afrikaner, Afrikander	Afrikaner
Afro-Asian	Afroaziatisch
after	achter
after-treatment, follow-up	nabehandeling
afternoon	namiddag
afterthought	nakomertje
afterwards, subsequently	daarna
afterwards, subsequently, than	dan
again, anew	opnieuw
against	tegenaan
Agamemnon	Agamemnon
agar-agar, agar	agar-agar
agave	agave
age	leeftijd
age	ouderdom
aged, old	oud
agency	agentschap
agenda	agenda
agenda	dagorde
agent	dealer
agent	vertegenwoordiger
agent, policeman	agent
agglomerate	agglomeraat
aggregate	aggregaat
aggregate	aggregatie
aggresive, aggressive	agressief
aggression	agressie
agitate, incite, abet	opruien
agitated	gejaagd
agitated	opgewonden
agony	agonie
agony	doodsangst
agony	doodsstrijd
agoraphobia	agorafobie
agoraphobia	pleinvrees
agoraphobia	ruimtevrees
agrarian	agrariër
agrarian	landbouwer
agree	overeenstemmen
agree, consent	het eens zijn
agreeable, enjoyable, pleasant, lovely, nice	genoeglijk
agreement, settlement, chord, accord	overeenstemming
agriculture	akkerbouw
agriculturist	agronoom
agriculturist	landbouwkundige
ah, oh, aha, ow	oh
aha	ha
ahead, formerly, previously	eerder
ahoy	heiho
ai	drietenige luiaard
aid, helper	famulus
aide-de-camp, adjutant	ordonnansofficier
aids	aids
air-conditioned	air-conditioned
air-conditioning	air-conditioning
air-conditioning	airco
air-cushion	luchtkussen
air-defence	luchtafweer
air-defence	luchtverdediging
air-filter	luchtfilter
air-fleet	luchtvloot
air-grid	luchtrooster
air-gun	luchtdrukgeweer
air-lift	luchtbrug
air-mail	luchtpost
air-pocket	luchtzak
air-pollution	luchtverontreiniging
air-pressure	luchtdruk
air-resistance	luchtweerstand
air-ship	luchtschip
air-squadron	luchteskader
air-squadron	vliegeskader
air-valve	luchtklep
air-valve	ventiel
airfield	vlieghaven
airfield	vliegveld
airline-pilot	lijnpiloot
airplane, aeroplane, aircraft, plane, air-plane	vliegtuig
airport	luchthaven
airsick	luchtziek
airsickness	luchtziekte
airway	luchtweg
Aix-la-Chapelle	Aken
ajar	op een kier staand
Ajax	Ajax
alarm	alarm slaan
alarm	alarmeren
alas	o wee
Alaska	Alaska
Albania	Albanië
Albanian	Albaans
Albanian	Albanees
alcohol, beverage, spirits, booze, liquor	drank
alcohol, booze, liquor, spirits	alcohol
alcohol, booze, spirits, liquor	alcoholische drank
alcoholic, boozer	drankzuchtige
alder	els
alder	elzeboom
alderman	schepen
alderman	wethouder
ale, beer	bier
Aleppo	Aleppo
alert, keen, brisk	kras
alert, keen, brisk	kwiek
Alexander	Alexander
Alexandria	Alexandrië
algebra	algebra
algebra	stelkunde
Algeria	Algerije
Algeria	Algerië
Algerian	Algerijns
Algiers	Algiers
algorithm	algoritme
alibi	alibi
alive	levend
all	de hele ... door
allegedly	naar men zegt
alley, lane	steeg
alligator	alligator
allot	loten
allot	verloten
allow, let	laten schieten
alloy	alliage
alloy	legering
alloy	metaalmengsel
alluring, enticing, tasty, tempting	lekker
allusion	toespeling
allusion	zinspeling
almighty	almachtig
almond	amandel
almond-eyed	amandelogig
almost, nearly	bijkans
alms	aalmoes
alone	verlaten
alone, someone, any, somebody, unique, anybody	enig
along	blijkens
along	ingevolge
along	langs
alongside	behalve
alongside	bezijden
Alost	Aalst
alp	alp
alp	alpenweide
alphabet	ABC
alphabet	alfabet
alphabet	eerste beginselen
Alps	Alpen
already	alreeds
already	alvast
already	reeds
Alsace-Lorraine	Elzas-Lotharingen
Alsatian	Elzassisch
also, too	eveneens
Altai	Altai
altar	altaar
alternate, alternating, variable	afwisselend
alternative, choice, option, election	keus
although, though	hoewel
altogether	alles wel beschouwd
aluminum, aluminium	aluminium
Alva	Alva
always	altijd
always	immer
always	steeds
amaryllis	amaryllis
amaryllis	goudlelie
amass	stapelen
amateur, dilettante, dabbler, fancier	amateur
amateur, fancier	knutseaar
amaze	bevreemden
amaze	verbazen
amaze	verwonderen
amazing, astonishing	bevreemdend
amazing, astonishing	verbazingwekkend
Amazon	Amazone
ambassador	ambassadeur
ambiguous	dubbelslachtig
ambiguous	dubbelzinnig
ambition	eerzucht
ambitious	ambitieus
ambitious	eerzuchtig
Amboina	Ambon
Amboinese	Ambonees
ambulance	ambulance
ambulance	ambulancewagen
ambulance	ziekenauto
ambush	een hinderlaag leggen
America	Amerika
American	Amerikaans
amidst	in het midden van
amidst	medio
amidst	midden
Amirants	Amiranten
Amman	Amman
Ammon, Amon, Amun	Ammon
ammunition, munition	munitie
amortize, deaden	afbetalen
amortize, deaden	aflossen
amortize, deaden	afschrijven
amount, number	tal
