a	een
clan, race, tribe	volksstam
clap	adhesie betuigen
clap	applaudisseren
clarify	duidelijk maken
clarify, lengthen, interpret	uitleggen
clasp	vasthaken
class	klas
class	klasse
classic, classical	klassiek
classic, classical	klassikaal
classify	classificeren
classify	indelen
clause	clausule
clause, stipulation, terms, condition	voorwaarde
claw, talon	klauw
clay, stone, earthen	klei-
clean, pure	puur
cleanliness, purity	helderheid
cleanliness, purity	kuisheid
cleanse, purge	reinigen
cleanse, purge	schoonmaken
clear, hell	hel
clef	muzieksleutel
clef, wrench	sleutel
Cleopatra	Cleopatra
clergyman, priest	geestelijke
clerk	bediende
clerk	kantoorbediende
clever, skillful, dexterous	bedreven
cliché, stereotype	gemeenplaats
click, rattle	klakken
clientèle	clientèle
clientèle	klandizie
clientèle	praktijk
cliff	klif
cliff, reef	klip
climate	klimaat
climatic	klimaats-
climb	klauteren
climb	klimmen
clinic	kliniek
cloakroom	garderobe
cloakroom	kleedkamer
cloakroom	vestiaire
clock	uurwerk
clock, bell	klok
clockwise	met de klok mee
clockwise	rechtsom
clod, chunk, globe, palm, dance, ball, lump	bal
clog	dichten
close, shut	dichtdoen
close, shut, clog	dichtmaken
close-up, foreground	voorgrond
closed	gesloten
closed	toe
closed, dense, compact, concentrated, thick	dicht
clothe	aankleden
clothe	kleden
clothe	omkleden
clothes, clothing	kleren
clothing, clothes	kleding
cloud	wolk
cloudy	bewolkt
cloudy, indistinct	onduidelijk
clove-cheese	nagelkaas
clown	paljas
clown	pias
club, society	club
clubs	klaveren
cluster, bunch, sheaf, bundle	wis
co-, fellow	co-
co-, fellow	samen-
co-operate, cooperate	samenwerken
coach, tutor	opvoeden
coach-work, body	carrosserie
coal	steenkool
coarse	hardhandig
coarse	onkies
coarse, brute, harsh	ruw
coast, edge, shore, seaside	kust
coast, seaside	zeekant
coat, mantle, cloak, overcoat	jas
coaxer, flatterer	mooiprater
coaxingly	vleiend
cobra	brilslang
cobra	cobra
cocaine	cocaïne
cockfight	hanengevecht
cockroach	kakkerlak
cocktail	cocktail
coco-nut, cocoa-nut, cocoanut, coconut	klapper
coco-nut, cocoanut, coconut, cocoa-nut	kokosnoot
cocoa	cacao
coconut, coco-nut, cocoanut, cocoa-nut	klappernoot
coconut-palm	klapperboom
coconut-palm	kokospalm
cocoon	cocon
cod, codfish	kabeljauw
code	code
codfish-oil	levertraan
codicil, appendix, rider	bijlage
codicil, rider, appendix	appendix
codicil, rider, appendix, accessorie, side-issue	aanhangsel
coffee	koffie
coffee-pot	koffiekan
coffee-pot	koffiepot
coffin	doodkist
coffin	kist
cognac	cognac
cogwheel, gear	tandrad
cogwheel, gear	tandwiel
coin	geldstuk
coincide	congruent zijn
coincide	elkaar dekken
coir, chorus	koor
coir, chorus	zangkoor
colander, strainer	vergiet
collapse	ineenstorten
collapse	instorten
collapse	uiteenvallen
collar	halsboord
collar	kraag
colleague	ambtgenoot
colleague	collega
collect	collecteren
collect	innen
collect	inzamelen
collection, band, bevy, gang	schare
collection, bevy	drift
collective	collectief
college	college
collide, run	voorrijden
collision	aanrijding
collision	aanvaring
collision	botsing
Cologne	Keulen
Colombia	Colombia
Colombian	Colombiaans
colonel	kolonel
colonial	koloniaal
colony	kolonie
colony	nederzetting
colony	volksplanting
colossal	kolossaal
colossal	ontzaglijk
colossal, immense	geweldig
colossus	bakbeest
colossus	gevaarte
colossus	kolos
colour, paint, color	verven
colour-blind	kleurenblind
coltsfoot	hoefblad
coltsfoot	klein hoefblad
columbine	akelei
Columbus	Columbus
column, pillar	kolom
column, pillar	steunpilaar
comb	kammen
comb, rake	uitkammen
combination	combinatie
combination, connection	verbinding
combine	combineren
combine	samenvoegen
combine, connect	verbinden
combustion	verbranding
come, originate, result	het gevolg zijn van
comedy	blijspel
comedy	komedie
comfort	comfort
comfort	gemak
comfort	gerief
comfortable	comfortabel
comfortable	geriefelijk
comic, comical	komisch
comic, comical	moppig
comical, comic	grappig
comical, comic	koddig
Comine	Komen
coming	afkomstig
comma	komma
command, order	bevelen
commander	commandant
commence, begin	aanvangen
commence, begin	beginnen
commence, moor, begin	aanbinden
commencement, arise, beginning	ontstaan
commencement, beginning	begin
comment	annoteren
comment	commentaar leveren op
commentary	nabeschouwing
commerce	koopmanschap
commerce	nering
commerce, trading	handel
commissar	ceremoniemeester
commissar	commissaris
commission, message, errand	boodschap
commission, mission, errand	opdracht
commissioner	gecommitteerde
commissioner	lasthebber
committee	comité
commodity, article	handelsartikel
commodore	commodore
common, collective	gemeenschappelijk
commonplace, trite	banaal
commonplace, trite, daily	alledaags
commotion	agitatie
commotion	beroering
communicate	mededelen
communicate	meedelen
communication	communiqué
communication-cord	noodrem
communion	communie
communism	communisme
communist	communist
community	gemeenschap
community	gemeente
commute	omleggen
commute	omschakelen
commute	overschakelen
compact	compact
company	firma
company	handelsfirma
company	handelshuis
comparatively	vergelijkenderwijs
compare	vergelijken
comparison	vergelijking
compass	kompas
compassion	erbarmen
compassion	mededogen
compassion	medelijden
compatible, congruent	congruent
compatriot	bewoner van een land
compel	dwingen
compel	noodzaken
compel	verplichten
compensate	compenseren
compensate	goedmaken
compensate	vergoeden
compensation	beloning
compensation	vergelding
compensation, wage, wages, salary	loon
compete, rival	meedingen
competent	bevoegd
competent	competent
competent, experienced, expert	deskundig
competition, rivalry	wedijver
compilation	compilatie
compilation	verzamelwerk
compile	compileren
compile, compose	samenstellen
compiler	compiler
complain	klagen
complain	zijn beklag doen
complaint, accusation, indictment, charge	aanklacht
complementary, supplementary	aanvullend
complete	volledig
completed	volbracht
complex	complex
complex	samengesteld
complexion	teint
complicate	compliceren
complicate	ingewikkeld maken
complicated	gecompliceerd
complicated	ingewikkeld
compliment	complimenteren
compose	componeren
composer	componist
composer	toondichter
composing, mounting, erecting	montage
composition	compositie
composition	toondicht
composition	toonzetting
compress	comprimeren
comprise	omvatten
compulsory	bindend
compulsory	dwingend
compulsory	gedwongen
compute, measure	meten
computer	computer
computer	computer
concave, hollow	ingevallen
conceal	ontveinzen
conceal	verbergen
conceal	verhelen
conceited	nietig
conceive	in verwachting raken
conceive	zwanger raken
concept	opvatting
concept, notion, idea	begrip
concern	belang
concerned	betrokken
concerned	desbetreffend
concerned, aware, conscious	bewust
concerning	aangaande
concerning	betreffende
concert	concert
concert-room	concertzaal
concert-room	muziekzaal
concerto	concerto
concise	beknopt
concise	bondig
concise	kernachtig
conclusion, inference	conclusie
conclusion, inference	gevolgtrekking
conclusive	een conclusie wettigend
concrete	beton
concubine	bijvrouw
condemnable, reprehensible, objectionable	laakbaar
condition, stipulation, terms	conditie
condolences	condoleantie
condolences	rouwbeklag
condom	condoom
condom	kapotje
conduct	leiden
conduct, lead, head	geleiden
confectionery	banketbakkerij
confectionery	koekbakkerij
confederation	bondsstaat
confederation	confederatie
conference	conferentie
confide	toevertrouwen
confide, trust, faith, confidence	vertrouwen
confident, self-assured	zelfverzekerd
confidential	geheim
confidential	vertrouwelijk
confined, limited, restricted	beperkt
confirmation	vormsel
confirmation, acceptance, adoption	aanneming
confiscate	confisqueren
confiscate, absorb	in beslag nemen
conflagration	brand
conflagration	vuurzee
conflict	conflict
conform	in overeenstemming zijn
conform, befit	passen
conforming	overeenstemmend
conforming, appropriate, seemly, becoming	passend
confront, face	het hoofd bieden
Confucius	Confucius
confuse	dooreenhalen
confuse	van zijn stuk brengen
confusing	verwarrend
confusion	verwardheid
confusion	verwarring
congentital, inbred, inborn, native, congenital	aangeboren
congestion	bloedaandrang
congestion	congestie
Congo, Zaire	Congo
Congolese	Congolees
Congolese	Kongolees
congratulate	feliciteren
congratulate	gelukwensen
congratulation	felicitatie
congratulation	gelukwens
congregate, assemble, meet	bijeenkomen
congregate, meet, assemble	vergaderen
conifer	naaldboom
conjecture, suppose, surmise	vermoeden
conjugate	conjugeren
conjugate	vervoegen
conjunction	conjunctie
connect	aan elkaar vastmaken
connection, unity	samenhang
conquer	veroveren
conscience	geweten
conscientious	consciëntieus
conscientious	gewetensvol
consciousness, awareness	besef
consciousness, awareness	bezinning
consecutively	achtereenvolgens
consecutively, ceaselessly	achtereen
consent, permission	goedvinden
consequence, consistency	consequentie
consequently	bijgevolg
consequently	derhalve
consequently	zodoende
conservative	behoudend
conservative	conservatief
conserve, safe, save, rescue	behouden
consider	beschouwen
consider	overwegen
considerable, sizable	aanmerkelijk
considerable, sizable	geruim
consist	bestaan uit
consistency, consequence, train, suite	gevolg
consistent	consequent
consolation	heul
consolation	troost
consolation	vertroosting
console	troosten
console	vertroosten
consonant	consonant
consonant	medeklinker
conspiracy	komplot
conspiracy	samenspanning
conspire	samenspannen
conspire	samenzweren
constant, sustained, continual, permanent	gestaag
constantly, continuously, continually	bij voortduring
consternation	consternatie
consternation	ontsteltenis
constipate	constipatie veroorzaken
constipate, cease, clog	stoppen
constipated	hardlijvig
constipated	verstopt
constipation	constipatie
constipation	obstipatie
constipation	verstopping
constitute, form, shape	vormen
constitution	constitutie
constitution	grondwet
constitutional	constitutioneel
constitutional	grondwettelijk
construct, build	construeren
consul	consul
consulate	consulaat
consult	consulteren
consult	raadplegen
consultation	consult
consultation	consultatie
consume	consumeren
consume	slopen
consume	verbruiken
consumer	consument
consumer	verbruiker
contact	contact hebben
contact	contact hebben met
contain, include	inhouden
container, vessel	doos
container, vessel	etui
container, vessel	koker
contempt	minachting
contempt	schamperheid
contempt	verachting
contentment, satisfaction	tevredenheid
contest	concours
contest	match
contest	wedstrijd
continent, mainland	werelddeel
contingent, eventual	eventueel
contingent, eventual	gebeurlijk
continual, constant, permanent, sustained	constant
continuation	bestendiging
continuation	vervolg
continuation	voortzetting
continuous	doorlopend
continuous	onafgebroken
continuously, continually, constantly	permanent
contort	twijnen
contort	verbuigen
contort	verdraaien
contour, outline	omlijning
contraband	contrabande
contraband	smokkelwaar
contract	contract
contract	verbintenis
contradict	in tegenspraak zijn met
contradict	tegenspreken
contralto	tweede alt
contrary	strijdig
contrary	tegenliggend
contrast	afsteken
contrast	contrasteren
contribute	bijdragen
contribution, dues	bijdrage
control, rule, reign	bewind
controller, checker	supervisor
controversy	controverse
controversy	pennestrijd
controversy	polemiek
convalesce, recuperate	op verhaal komen
convenient, handy, seemly, appropriate, opportune	geschikt
convention, congress	congres
converge	convergeren
converge	samenlopen
conversation	gesprek
conversation	onderhoud
converse	converseren
converse	een gesprek voeren
convert	bekeren
convey	afdragen
convey, hand	aanreiken
convict	schuldig bevinden
conviction, belief	overtuiging
convince, persuade	overtuigen
convoke	bijeenroepen
convoke	convoceren
convulsion	stuip
convulsion	stuiptrekking
cook, boil	koken
cooked	gekookt
cool	afkoelen
coop	hoenderhok
coop	kippenhok
coop	kippenren
cooperate, co-operate	meewerken
coordinate, co-ordinate	bijeenschakelen
coordinate, co-ordinate	coördineren
Copenhagen	Kopenhagen
coping	nok
copper	koperen
copper	roodkoperen
copulation	geslachtsdaad
copulation	paring
copy	exemplaar
copyright	copyright
copyright	kopijrecht
coquettish	behaagziek
coquettish	koket
Corantin	Corantijn
cord, string	snaar
Corinth	Corinthe
Corinthian	Corinthisch
cork	kurk
corkscrew, cork-screw	kurketrekker
cormorant	aalscholver
corn	eelt
corn	eksteroog
corn	likdoorn
corner, monopolize	accapareren
coronation	bekroning
coronation	kroning
corporal	korporaal
corporation	corporatie
corporation	gilde
corporation, trade-union, syndicate, labour-union	vakvereniging
corps	corps
corps	korps
corps	legerkorps
corpse, cadaver	kreng
corpulent, comprehensive, fat	lijvig
corral	paardestal
corral	stal
correct	correct
correspond	corresponderen
corridor-train	D-trein
corrode	corroderen
corrugate	onduleren
Corsica	Corsica
Corsican	Corsicaans
cosmos	kosmos
cosmos, universe	heelal
cost, expense	kosten
costly, expensive, valuable	kostbaar
costly, valuable	waardevol
costume	costuum
costume	dracht
costume	klederdracht
cot	kinderbed
coterie, band, clique, troupe, gang, junto	troep
coterie, junto, clique	kliek
cottage, cabin, hut	hut
cotton	katoen
cotton	katoenen weefsel
cotton-wool, wadding	watten
couch, divan	rustbank
couch-grass	hondsgras
couch-grass	kweek
couch-grass	kweekgras
cough	hoesten
council	raadgevend lichaam
counsel, notify, announce, advise, advertise	aankondigen
counsellor	adviseur
counsellor	mentor
counsellor	raadgever
count	in aanmerking komen
count	meetellen
counterfeit	vervalsing
countermand, cancel	afbestellen
countless	ontelbaar
countryman, rancher	boer
countryside, country	open veld
countryside, country	platteland
county	graafschap
couple	echtelieden
couple	echtpaar
coupon	bon
coupon	coupon
coupon	voucher
coupé	compartiment
coupé	coupé
coupé	treincoupé
courage	dapperheid
courage	durf
courage	lef
courage	moed
courageous, valiant	kloek
courageous, valiant	koen
courageous, valiant	moedig
courgette, zucchini	courgette
course	cursus
course	leergang
course, road, route	route
course, route	tracé
court, woo	het hof maken
courteous, well-mannered, polite	wellevend
Courtrai	Kortrijk
courtroom	rechtszaal
courtyard	binnenplaats
courtyard	erf
courtyard, garden	hof
cover	bedekken
cover	beleggen
cover	dekken
cover	toedekken
cowardice	lafhartigheid
cowardice	lafheid
cowboy	cowboy
cower, crouch, squat	in elkaar duiken
cowl	capuchon
cowl	huik
cowl	mantelkap
coyote	coyote
coyote	prairiewolf
crab	krab
cracked	gebarsten
crackle	knapperen
crackle	knetteren
cradle	wieg
cramp-iron	muuranker
cramped, narrow	krap
cramped, stale	benauwd
crane, faucet	kraan
crayfish	rivierkreeft
crayfish	zoetwaterkreeft
craze	furore
crazy, insane, mad	dolzinnig
creak, grind, chirp, grate, peep, twitter, gnash	piepen
crease	frommelen
crease	kreukelen
crease, dishevel	verfomfaaien
create	creëren
creature, be, essence, gist	wezen
credential	geloofsbrief
credit	credit
credit	creditzijde
credit	krediet
credit	tegoed
credulous	lichtgelovig
creep, crawl	kruipen
cremate	cremeren
cremation	crematie
cremation	lijkverbranding
cremation	verassing
Cretaceous	Krijt
Cretan	Kretenzer
Crete	Kreta
crevice, crack	barst
crew	bemanning
crib	afkijken
crib	spieken
cricket	krekel
cricket	kriek
crime	misdaad
crime	misdrijf
Crimea	Krim
criminal	crimineel
criminal	misdadig
criminal	snood
crimson	donkerrood
crimson	karmozijn
crippled, infirm	verminkt
crisis, emergency	crisis
critical, dangerous	hachelijk
criticism	beoordeling
criticism, critical	kritiek
criticize	kritiseren
criticize, censor	keuren
criticize, judge	beoordelen
croak, caw	krassen
Croat	Kroaat
Croatia	Kroatië
Croatian	Kroatisch
crockery, earthenware, pottery	aardewerk
crocodile	krokodillen
crocus	krokus
Cronus	Cronus
crook, rogue	ellendeling
crook, rogue	schavuit
crook, rogue, scoundrel	ploert
cross	over elkaar slaan
crossways, crosswise	kruiselings
crow	bonte kraai
crow	kraai
crowbar, crow-bar	hefboom
crowbar, crow-bar	koevoet
crowd, multitude, mass, quantity, pile	boel
crowd, pile, bevy, multitude, mass, collection	hoop
crowd, pile, mass, multitude	drom
crown	bekronen
crown	kronen
crucifix	crucifix
crucifix	kruisbeeld
crucify	kruisigen
crucify, cruise, cross	kruisen
crude, everyday, coarse, rough, raw	grof
cruel	wreed
cruel	wreedaardig
cruise	kruisen (van schip)
crumb	broodkruimel
crumb	kruimel
crumble	afbrokkelen
crumble	gruizelen
crunchy, brittle, crisp	knapperig
crunchy, crisp, brittle	croquant
crush	run
crush	toeloop
cruzeiro	cruzeiro
cry	kreet
cry, reputation	roep
cry, scream	schreeuw
crystal	kristalhelder
crystal	kristallen
Cuba	Cuba
Cuban	Cubaans
Cuban	kubiek
Cuban	kubusvormig
cube	derde macht
cube	dobbelsteen
cube, pulley, pad	blok
cuckoo	koekoek
cucumber	komkommer
cuff	manchet
cul-de-sac	doodlopende weg
culprit	dader
culprit	schuldige
cult	cultus
cult	verering
cultivate	bebouwen
cultivate	bewerken
cultivate, educate	kweken
culture	cultuur
culture	teelt
culture, civilization	beschaving
cultured, educated, well-informed, learned	ontwikkeld
cultured, well-informed, educated, learned	geleerd
cunning, sly, smart	doortrapt
cunning, sly, smart	gewiekst
cunning, smart, sly	listig
cunt, pussy	vulva
cup	kopje
cupcake	koekje
cupcake, witticism, blot, joke	mop
Cupid, Eros	Cupido
Curaçao	Curaçao
cure, treat	behandelen
curiosity	nieuwsgierigheid
curiosity	weetgierigheid
curious, quaint, typical	typisch
curl	krullen
currant, berry	bes
currant, currant-bush	aalbes
currant-bush	aalbesseboompje
currant-jam	aalbessenjam
currant-leaf	aalbesseblad
currency	muntsoort
currency	valuta
curry	kerrie
cursor	cursor
curtail	verkorten
curtain	gordijn
curtain	overgordijn
curtain, screen	scherm
curtsy	een buiging maken
curtsy	nijgen
curve	curve
curve	kromme
curve, gulf	bocht
curved, bent	gebogen
curved, bent	krom
cuss, swear, blaspheme, curse	vloeken
cuss, swear, curse, blaspheme	godlasteren
custom, way	gewoonte
custom, way	usance
custom-house	douanekantoor
custom-house	grenskantoor
customary, accustomed, usual, wonted, everyday	gewoon
customer	cliënt
customer, buyer, purchaser, client	klant
customs	douane
cut, mow	maaien
cuticle	nagelriem
cutlass	hartsvanger
cutlet	karbonade
cutlet	kotelet
cutlet	ribstuk
cutlet, rib	rib
cybernetics	cybernetica
Cyclades	Cycladen
cycle	fietsen
cycle	wielrijden
cycle-bag	fietstas
cyclone	cycloon
cyclone	wervelstorm
cynical	cynisch
cypres	cipres
cypres	cypres
Cypriote, Cypriot	Cypriotisch
Cyprus	Cyprus
czar	tsaar
czarina	tsarina
Czech	Tsjechisch
Czechoslovak, Czechoslovakian	Tsjechoslowaaks
Czechoslovakia	Tsjechoslowakije
D-chord	D-snaar
dabbler, dilettante	knutselaar
dabbler, fancier, amateur, dilettante	dilettant
Dacca	Dacca
dad, daddy	pappie
daddy, dad	pa
daddy, dad	pappa
Dagestan, Daghestan	Dagestan
dagger	dolk
Dagon	Dagon
dahlia	dahlia
Dahomey	Dahomey
daily	daags
daily	dagelijks
dairy	melkinrichting
dairy	zuivelfabriek
daisy	madeliefje
daisy	meizoentje
Dakar	Dakar
Dalmatia	Dalmatië
Dalmatian	Dalmatiër
dam	sperdam
dam, barrier, fence	barrière
damage	schade aanrichten
damage	schaden
damaged	gehavend
damaged	kaduuk
damaged, broken	kapot
Damascus	Damascus
dame, queen, king	jonkvrouw
dame, queen, king	lady
damn	godverdomme
damn	verdomd
damn	verdomme
Damocles	Damocles
damp, humid, moist	vochtig
dampen	bevochtigen
dampen	vochtig maken
dance, ball	danspartij
dancer	danseres
dandelion	leeuwetand
dandelion	paardebloem
dandruff, rose	roos
dandy, fop, dude	saletjonker
Dane	Deen
danger	hachelijkheid
dangerous	gevaarlijk
dangerous	link
Danish	Deens
Danube	Donau
Daphne	Daphne
daphne	peperboompje
Dardanelles	Dardanellen
dare	zich vermetelen
dark	donker
darken	donker worden
darken	versomberen
darkness, murk	duisternis
darling	lieverd
darling, sweetheart	liefje
darn	bliksems
darn	deksels
darn	sakkerloot
dash-board, wainscot, panel	beschot
data	grondstof
data	materiaal
date	dactylus
date	dadel
date-palm	dadelpalm
daughter	dochter
David	David
dawn, aurora	morgenlicht
day	dag
day-dreamer, dreamer, muser	dromer
day-ticket	dagkaart
daybreak	aanbreken van de dag
daybreak	dageraad
daylight	daglicht
dazed, perplexed, upset	beteuterd
dazzle	blind maken
dazzle	verblinden
deacon	diaken
dead	doods
dead, deadly	dodelijk
deadly	moorddadig
deaf	doof
deal, distribute	ronddelen
deal, distribute	uitdelen
dean	decaan
dean, blanket	deken
dear	geacht
dear	gezien
death	dood
death	sterfgeval
debatable, questionable	aanvechtbaar
debatable, questionable	betwistbaar
debate	debat
debauch	aan de rol zijn
debauch	boemelen
debauch	brassen
debauchery, dissipation	uitspatting
debit	debet
debit	debetzijde
debt, guilt, fault	schuld
debugger	debugger
decade	decennium
decanter	decanteren
decay	verval
deceive	bedriegen
deceive	misleiden
December	december
December	wintermaand
decently, properly	naar behoren
decently, properly	netjes
decide	beslissen
decide, constitute	uitmaken
decide, induce, infer	besluiten
decipher	ontcijferen
decipher	ontraadselen
decision	beslissing
decision	besluit
decisive	beslissend
decisive	cruciaal
deck	scheepsdek
deck	verdek
declaim, recite	voordragen
decoction	afkooksel
decode	decoderen
decor, decoration, adornment, décor	decoratie
decor, decoration, décor	decor
decoy, lure	lokken
decrease, lower, degrade	verlagen
decree	decreteren
decree	verordenen
dedicate, devote, entrust, celebrate	opdragen
dedicate, spend, devote	spanderen
deduce, gather	deduceren
deduct	rissen
deduct	ritsen
deduct	wegnemen
deem, think, believe, opine	geloven
deer	hert
defeat	nederlaag
defecate	kakken
defecate	ontlasting hebben
defecate	poepen
defence, defense	verdediging
defend	opkomen voor
defend	verdedigen
defend	verweren
defendant, accused	beklaagde
defendant, accused	beschuldigde
defense, defence	afweer
defense, defence	defensie
defense, weather, defence	weer
defiantly, notwithstanding, despite	niettegenstaande
deficit	kastekort
deficit	tekort
defile, profane	ontheiligen
defile, profane	ontwijden
defile, profane	profaneren
define	definiëren
define	omschrijven
definitely, definite, definitive, positively	definitief
definition	definitie
definition	omschrijving
definition, stipulation, terms, condition, clause	bepaling
definitive, definite	onherroepelijk
deformed	mismaakt
deformed	misvormd
defraud, swindle	zwendelen
defy, challenge	tarten
defy, challenge	trotseren
defy, challenge	uittarten
degenerate	degenereren
degenerate	ontaarden
degenerate, bribe	verbasteren
degrade	degraderen
degree, grade	mate
delay, retardation	vertraging
delegate	delegeren
delegation	afvaardiging
delegation	delegatie
delete	uitvegen
delete	wegvagen
delete, obliterate	uitwissen
Delft	Delft
Delhi	Delhi
deliberately	expres
deliberately	met opzet
deliberately	wetens
deliberately, intentional	moedwillig
delicacy, tidbit	lekkernij
delicate, refined	delicaat
delicate, refined	iel
delicate, refined	kies
delicious	overheerlijk
delight	in verrukking brengen
delight	verrukken
delighted	verrukt
delightful	beeldig
delightful, delicious	heerlijk
delightful, fascinating, enchanting, absorbing	betoverend
delirious	van een delirium
delirium	delirium
deliver, furnish	afleveren
deliver, furnish	bestellen
deliver, furnish	leveren
delivery	inlevering
delivery	levering
Delphi	Delphi
delta	delta
delude	begoochelen
delude	illusies wekken bij
deluge, flood	zondvloed
demand, postulate	vereisen
Demeter	Demeter
democracy	democratie
democrat	democraat
democratic	democratisch
demolish	afgeven op
demolish	afkammen
demolition	afbraak
demolition	ontmanteling
demolition	sloop
demon	demon
demon, devil	duivel
demonic	demonisch
demonic, Satanic	satanisch
demonstrate	demonstreren
demonstrate	vertonen
demonstration	demonstratie
demonstration	vertoning
demonstrative	aanwijzend voornaamwoord
den, cavern	krocht
den, void, concave, cavern, cavity, empty, hollow	hol
Dender	Dender
Denmark	Denemarken
denounce	aanbrengen
denounce, suggest, register, convey, indicate	aangeven
dental	getand
dental	tand-
dentist	tandarts
deny	ontkennen
depart, leave	afreizen
depart, leave	op reis gaan
department	departement
departure	uittocht
depend	afhangen
depend	afhankelijk zijn
dependence	afhankelijkheid
dependent	afhankelijk
dependent	onderhorig
deport	deporteren
deportment, behaviour	gedrag
deportment, behaviour	wandel
deposit	deponeren
deposit	in bewaring geven
deposit, spread	afgeven
depress	deprimeren
depress	neerdrukken
depression	depressie
depth	diepte
depute	deputeren
depute, delegate	afvaardigen
deputy	plaatsvervangend
deputy	subsidiair
derivation	afgeleid woord
derive	aftappen
descend	afdalen
descend	naar beneden gaan
descent	afdaling
describe	beschrijven
description	beschrijving
description, scene	tafereel
desert	wildernis
desert	woestenij
desert	woestijn
deserving, merchandise, authentic, where, worthy	waar
design, drawing	schets
design, drawing	tekening
desire, wish	begeren
desk, lectern	lezenaar
desolate, gloomy	troosteloos
despair	vertwijfelen
despair	wanhopen
despairingly	uitroepen
desperate	radeloos
desperate	wanhopig
despise	minachten
despise	verachten
despite, notwithstanding, defiantly	in weerwil van
despot	despoot
dessert	dessert
dessert	nagerecht
dessert	toespijs
dessert	toetje
destiny, fate	lotsbestemming
destructible, biodestructible, biodegradable	afbreekbaar
destruction	vernietiging
detachable, washable, removable	afneembaar
detached	afstandelijk
detachment	detachement
detail	bijzonderheid
detail	detail
detail, item, fragment, particle	item
detailed	ampel
detailed	gedetailleerd
detailed	in het klein
detective	detective
detective	rechercheur
detention, arrest, apprehension	arrestatie
deter, expel, scare, discourage	verjagen
detergent	afwasmiddel
determine, fix	nauwkeurig bepalen
deterrence	afschrikking
deterrence	verjaging
detrimentally, prejudicial, disadvantageous	nadelig
Deuteronomy	Deuteronomium
develop	doen ontstaan
develop, cause, make, do, fabricate, manufacture	maken
Deventer	Deventer
devil	boze
devil	droes
devil	drommel
devilish, diabolical	drommels
Devon	Devoon
devoted, selfless	aanhankelijk
dew	dauw
dexterous, clever, skillful, able, capable	bekwaam
dexterous, skillful, clever	behendig
dexterous, skillful, clever	handig
dharma	dharma
diabetes	diabetes
diabetes	suikerziekte
diabolical, devilish	duivelachtig
diagram, image, representation, picture	afbeelding
dial	wijzerplaat
dialect	dialect
dialect	tongval
dialog, dialogue	dialoog
dialog, dialogue	tweegesprek
dialogue, dialog	tweespraak
diameter	diameter
diameter	middellijn
diamond	diamant
Diana	Diana
diarrhoea	buikloop
diarrhoea	diarree
diary	dagboek
diary	journaal
dictate	dicteren
dictator	dictator
dictatorship	dictatuur
dictionary	woordenboek
die	doodgaan
die	sterven
die, death	overlijden
diehard	keihard
diesel	diesel
diesel	dieselmotor
diet	dieet
dietary	diëet-
differ	schelen
differ	uiteenlopen
differ	verschillen
difference	onderscheid
difference	verschil
different	uiteenlopend
differentiate	onderscheid maken
differentiate	uit elkaar houden
differently	anders
difficult, inconvenient	moeilijk
difficult, inconvenient, troublesome	lastig
difficult, sly, smart, cunning, inconvenient	slim
difficulty, trouble	bezwaar
difficulty, trouble	moeilijkheid
digest	digereren
digest	verduwen
digest	verteren
digestion	digestie
digestion	spijsvertering
digit, cipher, numeral	nummer
dignified	deftig
dignified	zichzelf respecterend
dignified, worthy, deserving	waardig
dignity	waardigheid
dignity	zelfgevoel
dignity	zelfrespect
dilapidated, decrepit, rickety, lapsed, decayed	bouwvallig
dilemma	dilemma
diligent, hardworking, industrious	vlijtig
dilute, weaken	aanlengen
Diluvium	Diluvium
dim	schemerig
dimension, size, extend, bulk	grootte
diminish, lessen	verminderen
diminutive, little, tiny, small	klein
din, noise, ado	lawaai
dining-room	eetzaal
Dinkel	Dinkel
dinner	diner
dinner	middageten
dinner	middagmaal
dip	indopen
dip	soppen
dip, immerse	indompelen
diploma	brevet
diploma	bul
diploma	diploma
diplomat	diplomaat
direct, guide, steer	richten
direct, steer, guide	mennen
direction	richting
direction	richtlijn
direction, course	koers
directions, instruction	aanwijzing
directions, instruction	consigne
directly	overeind
directly	rechtop
directly, straight	direct
director	directeur
directory	adresboek
dirtiness, untidiness	morsigheid
dis-, un-, in-, im-	in-
disabled	invalide
disadvantage	minpunt
disadvantage	schaduwzijde
disappear	verdwijnen
disappear	wijken
disappearance	verdwijning
disappoint	ontgoochelen
disappoint	tegenvallen
disappointment, annoyance, sorrow, grief	smart
disapprobation, disapproval, censure, condemnation	wraking
disapprove, rebuke	wraken
disapprove, rebuke, reject	verwerpen
disarm	ontwapenen
disc, disk, record	grammofoonplaat
discard	afdanken
discharge, fire, dismiss, sack	royeren
disciple	discipel
discipline	discipline
discipline	tucht
discomfort	ongemak
discomfort	ongerief
discount	disconto
discover, uncover	ontdekken
discovery	ontdekking
discrete	onopvallend
discrete, modest	discreet
discrimination	discriminatie
discuss	discuteren
discuss, review, reserve	bespreken
discussion	bespreking
discussion	discussie
disease, illness	ziekte
disembark	van boord gaan
disgust, nausea	misselijkheid
disgust, nausea	walg
disgust, nausea	walging
disgusting, abhorrant, nauseous	onsmakelijk
dish, saucer, platter	schotel
dishevel	in de war brengen
disinfect	desinfecteren
disinfect	ontsmetten
disk	schijf
disk, slice, record, pulley, disc	schijf
diskette	diskette
dislike, aversion	tegenzin
